date;id;latitude;link;longitude;name;neighbourhood;perm;price;rooms;sqm;suburb;type;where;who
2023-08-02;ID4mkJE;;http://www.otodom.pl/pl/oferta/nieruchomosc-do-generalnego-remontu-ID4mkJE;;Nieruchomość do generalnego remontu;;4386;250000;3;57.0;;P;Stare Polesie, Polesie, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4mx9S;51.747721;http://www.otodom.pl/pl/oferta/4-pokoje-oddzielna-kuchnia-duza-loggia-zielen-ID4mx9S;19.417790774552167;4 pokoje+oddzielna kuchnia+duża loggia (zieleń!);Osiedle Piaski;6684;425000;4;63.58;Łódź-Polesie;N;al. Ks. Kardynała Stefana Wyszyńskiego, Retkinia, Polesie, Łódź, łódzkie;Dobry Agent
2023-08-02;ID4mfos;51.7178446;http://www.otodom.pl/pl/oferta/roi-ponad-13-swietna-lokalizacja-ID4mfos;19.4426543;Roi ponad 13% Świetna lokalizacja !!;Ruda;1467;2200000;10;1500.0;Łódź-Górna;P;ul. Janusza Korczaka, Ruda Pabianicka, Górna, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4m8i2;51.7960803;http://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-osiedle-jarzebinowe-ID4m8i2;19.476759;Mieszkanie na sprzedaż - Osiedle Jarzębinowe;Marysin Doły;12200;465552;2;38.16;Łódź-Bałuty;P;ul. Okopowa, Marysin Doły, Bałuty, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4m93U;51.77244;http://www.otodom.pl/pl/oferta/2-pokoje-w-centrum-lodzi-ID4m93U;19.462847623798922;2 pokoje w centrum Łodzi;Nowe Centrum Łodzi;857;30000;2;35.0;Łódź-Śródmieście;N;ul. Jana Kilińskiego 43, Centrum, Śródmieście, Łódź, łódzkie;
2023-08-02;ID4mkEX;;http://www.otodom.pl/pl/oferta/apartament-128-m2-wyjatkowa-przestrzen-ID4mkEX;;Apartament 128 m2, wyjątkowa przestrzeń;;6609;846000;3;128.0;;P;Stare Chojny, Górna, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4llqw;51.3680775;http://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-echoboho-ID4llqw;19.3719291;mieszkanie 2 pokojowe EchoBoho;Śródmieście;9419;405000;2;43.0;brak;P;Fabryczna, Śródmieście, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4m8g7;51.7960803;http://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-zagajnikowa-apartamenty-ID4m8g7;19.476759;Mieszkanie na sprzedaż - Zagajnikowa Apartamenty;Marysin Doły;12200;471286;2;38.63;Łódź-Bałuty;P;ul. Zagajnikowa, Marysin Doły, Bałuty, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4mv6z;51.8036075;http://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-89m2-loggia-ID4mv6z;19.4341932;4-pokojowe mieszkanie 89m2 + loggia;Radogoszcz;7800;698724;4;89.58;Łódź-Bałuty;D;ul. Nad Sokołówką, Julianów, Bałuty, Łódź, łódzkie;SGI
2023-08-02;ID4iKNO;51.8036075;http://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-68m2-loggia-bez-prowizji-ID4iKNO;19.4341932;3-pokojowe mieszkanie 68m2 + loggia Bez Prowizji;Radogoszcz;8800;603416;3;68.57;Łódź-Bałuty;D;ul. Nad Sokołówką, Julianów, Bałuty, Łódź, łódzkie;SGI
2023-08-02;ID4mv6A;51.8036075;http://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-47m2-loggia-bez-prowizji-ID4mv6A;19.4341932;2-pokojowe mieszkanie 47m2 + loggia Bez Prowizji;Radogoszcz;8600;410220;2;47.7;Łódź-Bałuty;D;ul. Nad Sokołówką, Julianów, Bałuty, Łódź, łódzkie;SGI
2023-08-02;ID4m3KK;51.7592275;http://www.otodom.pl/pl/oferta/mieszkanie-lodz-srodmiescie-ID4m3KK;19.4586174;Mieszkanie - Łódź Śródmieście;ŚDM Manhattan;6880;350000;2;50.87;Łódź-Śródmieście;N;ul. Piotrkowska, Centrum, Śródmieście, Łódź, łódzkie;Ubuntu nieruchomości
2023-08-02;ID4m3Tu;51.7071596;http://www.otodom.pl/pl/oferta/znajdz-swoj-dom-w-tym-pieknym-mieszkaniu-z-tarasem-ID4m3Tu;19.4749988;Znajdź swój dom w tym pięknym mieszkaniu z tarasem;Chojny;6841;639000;3;93.41;Łódź-Górna;N;ul. Emilii Sczanieckiej, Stare Chojny, Górna, Łódź, łódzkie;Ubuntu nieruchomości
2023-08-02;ID4c8dr;51.8036075;http://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-82m2-loggia-bez-prowizji-ID4c8dr;19.4341932;4-pokojowe mieszkanie 82m2 + loggia Bez Prowizji;Radogoszcz;8500;704650;4;82.9;Łódź-Bałuty;D;ul. Nad Sokołówką, Julianów, Bałuty, Łódź, łódzkie;SGI
2023-08-02;ID4loD8;;http://www.otodom.pl/pl/oferta/aktualne-stan-deweloperski-m-naziemne-winda-ID4loD8;;Aktualne. Stan deweloperski. M. naziemne. Winda;;9210;379000;2;41.15;;N;Odbierz klucze już dziś. Doskonały widok z okien, Politechniczna, Polesie, Łódź, łódzkie;Nieruchomości Plus
2023-08-02;ID4mkoF;51.7976741;http://www.otodom.pl/pl/oferta/przytulne-m-z-klimatyzacja-do-wprowadzenia-ID4mkoF;19.3942704;Przytulne M z klimatyzacją do wprowadzenia;Osiedle im. Władysława Reymonta;7360;276000;2;37.5;Łódź-Bałuty;N;ul. Traktorowa, Teofilów Przemysłowy, Bałuty, Łódź, łódzkie;Modern Broker
2023-08-02;ID4mp5r;51.75748685;http://www.otodom.pl/pl/oferta/klucze-od-zaraz-trzy-balkony-blisko-park-podolski-ID4mp5r;19.530062618611687;KLUCZE OD ZARAZ Trzy balkony. Blisko Park Podolski;Widzew-Wschód;7800;608088;4;77.96;Widzew;N;Widzew Wschód, Widzew, Łódź, łódzkie;BIURO SPRZEDAŻY DEWELOPERA
2023-08-02;ID4mvZU;51.7979537;http://www.otodom.pl/pl/oferta/dla-rodziny-4-pokoje-z-balkonem-57m2-ul-wici-ID4mvZU;19.371031;dla rodziny/4 pokoje z balkonem/57m2/ul. Wici;Osiedle im. Marii Konopnickiej;9965;569000;4;57.1;Łódź-Bałuty;N;ul. Wici, Teofilów, Bałuty, Łódź, łódzkie;N-HOME Nieruchomości
2023-08-02;ID4mqTK;51.7176404;http://www.otodom.pl/pl/oferta/m3-2pokoje-gorna-chojny-kurczaki-iczmp-stawy-jana-ID4mqTK;19.4898567;M3 2pokoje Górna Chojny Kurczaki ICZMP Stawy Jana;Komorniki;7789;390000;2;50.07;Górna;N;ul. Gospodarcza, Stare Chojny, Górna, Łódź, łódzkie;MWW Mieszkanie
2023-08-02;ID4lo5x;51.7410208;http://www.otodom.pl/pl/oferta/wyjatkowe-m3-89m2-dwupoziomowe-do-wprowadzenia-ID4lo5x;19.4716743;WYJĄTKOWE!! M3, 89m2 DWUPOZIOMOWE, do wprowadzenia;Górna-Rynek;6719;598000;3;89.0;Łódź-Górna;P;ul. Łomżyńska, Górniak, Górna, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4mvVY;51.7909496;http://www.otodom.pl/pl/oferta/mieszkanie-ul-marynarska-lodz-ID4mvVY;19.464439;Mieszkanie ul. Marynarska Łódź;Osiedle im. Władysławy Bytomskiej;9485;575000;2;60.62;Łódź-Bałuty;P;ul. Marynarska, Stare Bałuty, Bałuty, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4lV3k;51.7637898;http://www.otodom.pl/pl/oferta/wygodne-mieszkanie-w-centrum-miasta-1-pietro-ID4lV3k;19.4530664;Wygodne mieszkanie w Centrum Miasta, 1 piętro;Centrum;6567;570000;4;86.8;Łódź-Śródmieście;N;ul. Wólczańska, Centrum, Śródmieście, Łódź, łódzkie;Atelier Nieruchomości spółka z oo
2023-08-02;ID4l2d1;51.7496521;http://www.otodom.pl/pl/oferta/dwupoziomowy-apartament-z-duzym-tarasem-i-balkonem-ID4l2d1;19.5089728;Dwupoziomowy apartament z dużym tarasem i balkonem;Zarzew;5695;1000000;5;175.6;Widzew;P;"ul. mjr. Jana Piwnika ""Ponurego"", Zarzew, Widzew, Łódź, łódzkie";Oferta prywatna
2023-08-02;ID4mvV3;;http://www.otodom.pl/pl/oferta/m4-z-kominkiem-ID4mvV3;;M4 z kominkiem;;5943;315000;3;53.0;;N;Fabryczna Widzew, Widzew, Łódź, łódzkie;Vero  Nieruchomości
2023-08-02;ID4ka0Q;;http://www.otodom.pl/pl/oferta/2-pokoje-44m-umeblowane-klima-do-wprowadzenia-ID4ka0Q;;2 pokoje 44m, umeblowane, klima, do wprowadzenia;;8068;355000;2;44.0;;P;chojny-dąbrowa, Chojny, Górna, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4iThN;51.7753359;http://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-ogrodek-bez-prowizji-ID4iThN;19.4272976;2-pokojowe mieszkanie 39m2 + ogródek Bez Prowizji;Koziny;10150;404680;2;39.87;Łódź-Polesie;D;ul. Marcina Kasprzaka, Stare Polesie, Polesie, Łódź, łódzkie;VFM Real Estate
2023-08-02;ID4mevK;51.79558;http://www.otodom.pl/pl/oferta/m3-rozkladowe-ul-sukiennicza-vi-pietro-balkon-ID4mevK;19.4594596;M3 rozkładowe ul. Sukiennicza VI piętro balkon;Osiedle im. Stefana Czarnieckiego;7311;280000;2;38.3;Łódź-Bałuty;N;ul. Sukiennicza, Stare Bałuty, Bałuty, Łódź, łódzkie;Łódzkie Centrum Nieruchomości
2023-08-02;ID4iTj1;51.7753359;http://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-84m2-balkon-ID4iTj1;19.4272976;4-pokojowe mieszkanie 84m2 + balkon;Koziny;8650;734471;4;84.91;Łódź-Polesie;D;ul. Marcina Kasprzaka, Stare Polesie, Polesie, Łódź, łódzkie;VFM Real Estate
2023-08-02;ID4llJG;51.7964992;http://www.otodom.pl/pl/oferta/neoteo-nowe-mieszkanie-35-42m2-dostepne-na-juz-ID4llJG;19.3873855;NEOTEO - Nowe mieszkanie 35,42m2 - dostępne na już;Osiedle im. Stefana Żeromskiego;7905;280000;1;35.42;Łódź-Bałuty;P;ul. Grabieniec, Teofilów, Bałuty, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4mvTI;51.75748685;http://www.otodom.pl/pl/oferta/2-pokoje-pelen-rozklad-do-zamieszkania-wiidzew-ID4mvTI;19.530062618611687;2 pokoje, pełen rozkład , do zamieszkania, Wiidzew;Widzew-Wschód;8451;389000;2;46.03;Widzew;N;Widzew Wschód, Widzew, Łódź, łódzkie;WELLHOME NIERUCHOMOŚCI
2023-08-02;ID4mktt;51.7638615;http://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-mireckiego-park-zdrowie-ID4mktt;19.4069675;Mieszkanie na osiedlu Mireckiego Park Zdrowie;Zdrowie-Mania;7500;285000;1;38.0;Łódź-Polesie;P;Zdrowie, Polesie, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4mqk5;51.752359;http://www.otodom.pl/pl/oferta/2-pokoje-osiedle-majowe-ul-przybyszewskiego-209-ID4mqk5;19.5255779;2 pokoje, Osiedle Majowe, ul. Przybyszewskiego 209;Widzew-Wschód;10948;575000;2;52.52;Widzew;P;ul. Stanisława Przybyszewskiego, Zarzew, Widzew, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4l8sS;;http://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-na-stokach-ID4l8sS;;Mieszkanie 3 - pokojowe na Stokach;;6962;369000;3;53.0;;N;Stare Polesie, Polesie, Łódź, łódzkie;Maxima Nieruchomości
2023-08-02;ID4mvRV;51.7311579;http://www.otodom.pl/pl/oferta/kawalerka-z-widokiem-na-centrum-lodzi-ID4mvRV;19.4704556;Kawalerka z widokiem na centrum Łodzi;Kurak;8523;225000;2;26.4;Górna;N;ul. Łączna, Chojny, Górna, Łódź, łódzkie;Muvon nieruchomości
2023-08-02;ID4lEo6;51.7935246;http://www.otodom.pl/pl/oferta/2-pokoje-doly-ID4lEo6;19.4849514;2 pokoje Doły;Doły;7647;390000;2;51.0;Łódź-Bałuty;N;ul. Bracka, Marysin Doły, Bałuty, Łódź, łódzkie;Biuro Nieruchomości Kwadrat Iwona Mizerska
2023-08-02;ID4mo0n;51.7902865;http://www.otodom.pl/pl/oferta/3-pok-ii-garaz-i-komorka-w-cenie-ID4mo0n;19.5893087;3 pok II Garaż i Komórka w cenie!;Nowosolna;11364;875000;3;77.0;Łódź-Widzew;N;ul. Pomorska, Mileszki, Widzew, Łódź, łódzkie;Home Expert
2023-08-02;ID4mvR6;;http://www.otodom.pl/pl/oferta/38m-2-pokoje-na-polesiu-ID4mvR6;;38m, 2 pokoje na Polesiu.;;474;18000;2;38.0;;N;Ruda Pabianicka, Górna, Łódź, łódzkie;EUREX NIERUCHOMOŚCI
2023-08-02;ID4mcmZ;51.7365346;http://www.otodom.pl/pl/oferta/wysoki-parter-w-bloku-z-cegly-gotowe-do-remontu-ID4mcmZ;19.4420479;Wysoki parter w bloku z cegły, gotowe do remontu;Nowe Rokicie;5423;289000;2;53.29;Łódź-Górna;N;ul. Obywatelska, Nowe Rokicie, Górna, Łódź, łódzkie;Polska Agencja Nieruchomości
2023-08-02;ID4kFOu;51.7652239;http://www.otodom.pl/pl/oferta/swietna-lokalizacja-pieknie-urzadzona-kawalerka-ID4kFOu;19.4336598;świetna lokalizacja/pięknie urządzona kawalerka;Osiedle imienia Mikołaja Kopernika;9222;249000;1;27.0;Łódź-Polesie;N;ul. 6 Sierpnia, Stare Polesie, Polesie, Łódź, łódzkie;N-HOME Nieruchomości
2023-08-02;ID4lQ9N;51.7218919;http://www.otodom.pl/pl/oferta/apatrtament-z-garazem-w-super-lokalizacji-ID4lQ9N;19.4434429;Apatrtament Z Garażem W Super Lokalizacji;Ruda;8115;779000;3;96.0;Łódź-Górna;N;ul. Łukowa, Ruda Pabianicka, Górna, Łódź, łódzkie;Łódzka Giełda Nieruchomości
2023-08-02;ID4lQJT;51.75101045;http://www.otodom.pl/pl/oferta/2-pokoje-do-wykonczenia-bez-prowizji-i-pcc-ID4lQJT;19.460652000930303;2 Pokoje, Do wykończenia, Bez prowizji i PCC;ŚDM Manhattan;10365;429000;2;41.39;Łódź-Śródmieście;P;ul. Piotrkowska 252, Centrum, Śródmieście, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4mv5J;51.8036075;http://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-92m2-loggia-bez-prowizji-ID4mv5J;19.4341932;4-pokojowe mieszkanie 92m2 + loggia Bez Prowizji;Radogoszcz;9000;830160;4;92.24;Łódź-Bałuty;D;ul. Nad Sokołówką, Julianów, Bałuty, Łódź, łódzkie;SGI
2023-08-02;ID4c8d3;51.8036075;http://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-73m2-loggia-bezposrednio-ID4c8d3;19.4341932;3-pokojowe mieszkanie 73m2 + loggia Bezpośrednio;Radogoszcz;8811;643368;3;73.02;Łódź-Bałuty;D;ul. Nad Sokołówką, Julianów, Bałuty, Łódź, łódzkie;SGI
2023-08-02;ID4mv5R;51.8036075;http://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-47m2-taras-bezposrednio-ID4mv5R;19.4341932;2-pokojowe mieszkanie 47m2 + taras Bezpośrednio;Radogoszcz;8000;381600;2;47.7;Łódź-Bałuty;D;ul. Nad Sokołówką, Julianów, Bałuty, Łódź, łódzkie;SGI
2023-08-02;ID4ceFQ;51.7979587;http://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-75m2-3-balkony-ID4ceFQ;19.432959;4-pokojowe mieszkanie 75m2 + 3 balkony;Berlinek;-1;-1;4;75.9;Łódź-Bałuty;D;ul. Hipoteczna, Stare Bałuty, Bałuty, Łódź, łódzkie;Maxbud Noveo
2023-08-02;ID4ceFU;51.7979587;http://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-balkon-bezposrednio-ID4ceFU;19.432959;3-pokojowe mieszkanie 55m2 + balkon Bezpośrednio;Berlinek;-1;-1;3;55.58;Łódź-Bałuty;D;ul. Hipoteczna, Stare Bałuty, Bałuty, Łódź, łódzkie;Maxbud Noveo
2023-08-02;ID4ceFP;51.7979587;http://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-balkon-bezposrednio-ID4ceFP;19.432959;2-pokojowe mieszkanie 43m2 + balkon Bezpośrednio;Berlinek;-1;-1;2;43.72;Łódź-Bałuty;D;ul. Hipoteczna, Stare Bałuty, Bałuty, Łódź, łódzkie;Maxbud Noveo
2023-08-02;ID4kSEj;51.7762264;http://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-73m2-balkon-bez-prowizji-ID4kSEj;19.4081016;4-pokojowe mieszkanie 73m2 + balkon Bez Prowizji;Mania;-1;-1;4;73.04;Łódź-Polesie;D;ul. Mania, Zdrowie, Polesie, Łódź, łódzkie;Esembla Group
2023-08-02;ID4kSDZ;51.7762264;http://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-66m2-balkon-ID4kSDZ;19.4081016;3-pokojowe mieszkanie 66m2 + balkon;Mania;-1;-1;3;66.64;Łódź-Polesie;D;ul. Mania, Zdrowie, Polesie, Łódź, łódzkie;Esembla Group
2023-08-02;ID4kSEa;51.7762264;http://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-51m2-balkon-ID4kSEa;19.4081016;2-pokojowe mieszkanie 51m2 + balkon;Mania;-1;-1;2;51.91;Łódź-Polesie;D;ul. Mania, Zdrowie, Polesie, Łódź, łódzkie;Esembla Group
2023-08-02;ID4iTih;51.7753359;http://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bez-prowizji-ID4iTih;19.4272976;1-pokojowe mieszkanie 32m2 + balkon Bez Prowizji;Koziny;10450;336803;1;32.23;Łódź-Polesie;D;ul. Marcina Kasprzaka, Stare Polesie, Polesie, Łódź, łódzkie;VFM Real Estate
2023-08-02;ID4mqhI;51.7681197;http://www.otodom.pl/pl/oferta/2-pokoje-klucze-sierpien-2023-ID4mqhI;19.4229705;2 pokoje - klucze sierpień 2023;Zdrowie-Mania;8758;289000;2;33.0;Łódź-Polesie;P;ul. Konstantynowska, Zdrowie, Polesie, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4ju6z;51.8004217;http://www.otodom.pl/pl/oferta/teofilow-m3-rydzowa-2-pokoje-pelen-rozklad-balkon-ID4ju6z;19.3756567;Teofilów M3 Rydzowa- 2 pokoje pełen rozkład balkon;Osiedle im. Marii Konopnickiej;6378;243000;2;38.1;Łódź-Bałuty;P;ul. Rydzowa, Teofilów, Bałuty, Łódź, łódzkie;Oferta prywatna
2023-08-02;ID4fJQS;;http://www.otodom.pl/pl/oferta/biala-kamienica-nowe-mieszkanie-m19-ID4fJQS;;Biała Kamienica | nowe mieszkanie M19;;10800;790020;3;73.15;;D;ul. płk. dr. Stanisława Więckowskiego, Centrum, Śródmieście, Łódź, łódzkie;Yuniversal Development Sp. z o.o.
2023-08-02;ID4cQwS;51.7672156;http://www.otodom.pl/pl/oferta/apartament-tuwima-sky-3-pokoje-kredyt-2-ID4cQwS;19.4874464;Apartament Tuwima Sky / 3 pokoje / Kredyt 2%;Stary Widzew;-1;-1;3;46.81;Łódź-Widzew;D;ul. Juliana Tuwima 95, Fabryczna Widzew, Widzew, Łódź, łódzkie;HREIT
2023-08-02;ID4ifIm;51.7668304;http://www.otodom.pl/pl/oferta/tuwima-gardens-w-sasiedztwie-2-parkow-kredyt-2-ID4ifIm;19.4721424;Tuwima Gardens /w sąsiedztwie 2 parków/ Kredyt 2%;Fabryczna Widzew;-1;-1;1;30.26;Łódź-Widzew;D;ul. Juliana Tuwima, Stary Widzew, Widzew, Łódź, łódzkie;HREIT
2023-08-02;ID4if3a;51.8095763;http://www.otodom.pl/pl/oferta/apartamenty-lozowa-2-pok-balkon-kredyt-2-ID4if3a;19.4388767;Apartamenty Łozowa 2 pok. / balkon/ Kredyt 2%;Julianów-Marysin-Rogi;-1;-1;2;38.55;Łódź-Bałuty;D;Radogoszcz, Bałuty, Łódź, łódzkie;HREIT
2023-08-02;ID4jjSw;51.7602363;http://www.otodom.pl/pl/oferta/sloneczna-kawalerka-kredyt-2-ID4jjSw;19.4687778;Słoneczna kawalerka / Kredyt 2%;Fabryczna Widzew;-1;-1;1;28.8;Łódź-Śródmieście;D;ul. Jana Kilińskiego, Księży Młyn, Widzew, Łódź, łódzkie;HREIT
2023-08-02;ID4iKKq;51.8036075;http://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-65m2-taras-bez-prowizji-ID4iKKq;19.4341932;3-pokojowe mieszkanie 65m2 + taras Bez Prowizji;Radogoszcz;8400;546504;3;65.06;Łódź-Bałuty;D;ul. Nad Sokołówką, Julianów, Bałuty, Łódź, łódzkie;SGI
2023-08-02;ID4jQ7B;51.7807962;http://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-57m2-taras-bez-posrednikow-ID4jQ7B;19.3732106;3-pokojowe mieszkanie 57m2 + taras Bez Pośredników;Odzierady;-1;-1;3;57.5;Łódź-Polesie;D;ul. Podchorążych, Złotno, Polesie, Łódź, łódzkie;Real Development Group
2023-08-02;ID4jQ7k;51.7807962;http://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-55m2-loggia-ID4jQ7k;19.3732106;2-pokojowe mieszkanie 55m2 + loggia;Odzierady;-1;-1;2;55.79;Łódź-Polesie;D;ul. Podchorążych, Złotno, Polesie, Łódź, łódzkie;Real Development Group
2023-08-02;ID4iTi1;51.7753359;http://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-balkon-bez-prowizji-ID4iTi1;19.4272976;3-pokojowe mieszkanie 60m2 + balkon Bez Prowizji;Koziny;9250;563510;3;60.92;Łódź-Polesie;D;ul. Marcina Kasprzaka, Stare Polesie, Polesie, Łódź, łódzkie;VFM Real Estate
2023-08-02;ID4jMSs;51.7524667;http://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-ogrodek-bezposrednio-ID4jMSs;19.4527993;1-pokojowe mieszkanie 25m2 + ogródek Bezpośrednio;Politechniczna;-1;-1;1;25.48;Łódź-Polesie;D;ul. prof. Bohdana Stefanowskiego, Politechniczna, Polesie, Łódź, łódzkie;Real Development Group
2023-08-02;ID4mvMs;51.74057635;http://www.otodom.pl/pl/oferta/nowe-2023balkongarazpremiumbasen-ID4mvMs;19.461207152332236;⭐Nowe 2023⭐Balkon⭐Garaż⭐Premium⭐Basen;Górna-Rynek;9350;394850;2;42.23;Łódź-Górna;N;Górniak, Górna, Łódź, łódzkie;KINGDOM real estate advisor
2023-08-02;ID4mvLX;51.7864622;http://www.otodom.pl/pl/oferta/2-pokoje-po-remoncie-ul-gnieznienska-baluty-ID4mvLX;19.4394373;2 pokoje, po remoncie, ul. Gnieźnieńska, Bałuty;Stare Bałuty;8121;447000;2;55.04;Łódź-Bałuty;N;ul. Gnieźnieńska, Stare Miasto, Bałuty, Łódź, łódzkie;SKiL nieruchomości
2023-08-02;ID4liof;;http://www.otodom.pl/pl/oferta/okazja-gotowe-3-pokojowe-mieszkanie-z-balkonem-ID4liof;;Okazja! Gotowe 3 pokojowe mieszkanie z balkonem;;9527;499000;3;52.38;;N;Stare Polesie, Polesie, Łódź, łódzkie;Golden Square
2023-08-02;ID4mvLt;51.7592275;http://www.otodom.pl/pl/oferta/duza-kawalerka-w-scislym-centrum-ID4mvLt;19.4586174;Duża kawalerka w ścisłym Centrum!;ŚDM Manhattan;7763;295000;1;38.0;Łódź-Śródmieście;N;ul. Piotrkowska, Centrum, Śródmieście, Łódź, łódzkie;Apartiz
