date;link;name;where;price;perm;rooms;sqm;who;latitude;longitude;neighbourhood;suburb;postcode;id;type
2023-08-08;http://www.otodom.pl/pl/oferta/browary-warszawskie-swietne-mieszkanie-w-centrum-ID4m1qA;Browary Warszawskie - świetne mieszkanie w centrum;ul. Krochmalna, Mirów, Wola, Warszawa, mazowieckie;3168000;36000;3;88.0;PARTNERS INTERNATIONAL;52.2366699;20.9921592;Mirów;Wola;00-864;ID4m1qA;N
2023-08-08;http://www.otodom.pl/pl/oferta/filtry-reprezentacyjne-mieszkanie-w-kamienicy-ID4lSsC;Filtry | Reprezentacyjne mieszkanie w kamienicy;al. Aleja Niepodległości, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie;2500000;18165;3;137.63;PARTNERS INTERNATIONAL;52.2161256;21.0056338;Śródmieście Południowe;Śródmieście;00-608;ID4lSsC;N
2023-08-08;http://www.otodom.pl/pl/oferta/penthouse-w-miasteczku-4-sypialnie-gabinet-ID4lNts;Penthouse w Miasteczku | 4 sypialnie + gabinet;ul. Adama Branickiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie;3250000;24343;6;133.51;PARTNERS INTERNATIONAL;52.1529138;21.0670023;Błonia Wilanowskie;Wilanów;02-790;ID4lNts;N
2023-08-08;http://www.otodom.pl/pl/oferta/apartament-xvii-p-z-widokiem-na-skyline-warszawy-ID4kNoK;Apartament XVII p. z widokiem na skyline Warszawy;ul. Marcina Kasprzaka, Odolany, Wola, Warszawa, mazowieckie;3997920;23472;3;170.33;PARTNERS INTERNATIONAL;52.2285878;20.9691718;Czyste;Wola;01-220;ID4kNoK;N
2023-08-08;http://www.otodom.pl/pl/oferta/apartament-w-kamienicy-ID4lrmR;Apartament w kamienicy;Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie;3025000;42014;3;72.0;PARTNERS INTERNATIONAL;52.21944245;21.015704126921612;Marszałkowska Dzielnica Mieszkaniowa;Śródmieście;00-650;ID4lrmR;N
2023-08-08;http://www.otodom.pl/pl/oferta/apartament-z-oszalamiajacym-widokiem-na-warszawe-ID4lnvx;Apartament z oszałamiającym widokiem na Warszawę;Śródmieście Północne, Śródmieście, Warszawa, mazowieckie;9500000;57927;4;164.0;PARTNERS INTERNATIONAL;52.23758715;21.010602457659104;Centrum;Śródmieście;00-056;ID4lnvx;N
2023-08-08;http://www.otodom.pl/pl/oferta/kamienica-centrum-na-cele-biurowe-i-mieszkaniowe-ID4laTP;Kamienica Centrum na cele biurowe i mieszkaniowe;ul. Stanisława Noakowskiego, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie;4750800;30000;4;158.36;PARTNERS INTERNATIONAL;52.2225377;21.008507;Marszałkowska Dzielnica Mieszkaniowa;Śródmieście;00-664;ID4laTP;N
2023-08-08;http://www.otodom.pl/pl/oferta/apartament-z-dusza-w-najlepszej-lokalizacji-ID4lu5K;Apartament z duszą w najlepszej lokalizacji;ul. Chocimska, Stary Mokotów, Mokotów, Warszawa, mazowieckie;2550000;28022;4;91.0;PARTNERS INTERNATIONAL;52.2115248;21.022605;Stary Mokotów;Mokotów;00-795;ID4lu5K;N
2023-08-08;http://www.otodom.pl/pl/oferta/138m2-4-pokoje-plac-unii-lubelskiej-ID4kw3o;138m2 | 4 pokoje | Plac Unii Lubelskiej;al. Aleja Jana Chrystiana Szucha, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie;2623520;19000;4;138.08;PARTNERS INTERNATIONAL;52.2139365;21.0217436;Latawiec;Śródmieście;00-588;ID4kw3o;N
2023-08-08;http://www.otodom.pl/pl/oferta/apartament-z-ogrodem-324m2-ID4kjXB;Apartament z ogrodem 324m2;Stegny, Mokotów, Warszawa, mazowieckie;4600000;27350;4;168.19;PARTNERS INTERNATIONAL;52.1781144;21.0479725;Służew Górny;Mokotów;02-914;ID4kjXB;N
2023-08-08;http://www.otodom.pl/pl/oferta/apartament-pod-skocznia-w-stanie-deweloperskim-ID4kGTr;Apartament Pod Skocznią w stanie deweloperskim;Stegny, Mokotów, Warszawa, mazowieckie;3500000;19444;5;180.0;PARTNERS INTERNATIONAL;52.1781144;21.0479725;Służew Górny;Mokotów;02-914;ID4kGTr;N
2023-08-08;http://www.otodom.pl/pl/oferta/120-m2-4-pokoje-w-kamienicy-na-powislu-ID4kiqZ;120 m2 | 4 Pokoje | W kamienicy Na Powiślu;ul. Czerwonego Krzyża, Powiśle, Śródmieście, Warszawa, mazowieckie;3100000;26352;4;117.64;PARTNERS INTERNATIONAL;52.235594;21.0304072;Powiśle;Śródmieście;00-377;ID4kiqZ;N
2023-08-08;http://www.otodom.pl/pl/oferta/penthouse-przy-metrze-wilanowska-ID4hJcL;Penthouse przy Metrze Wilanowska;ul. Bukowińska, Ksawerów, Mokotów, Warszawa, mazowieckie;5200000;13083;6;397.45;PARTNERS INTERNATIONAL;52.183407;21.0225451;Szopy Polskie;Mokotów;02-657;ID4hJcL;N
2023-08-08;http://www.otodom.pl/pl/oferta/piekna-kamienica-przy-ul-parkowej-widok-na-park-ID4gZlM;Piękna Kamienica Przy Ul. Parkowej, Widok Na Park;Ujazdów, Śródmieście, Warszawa, mazowieckie;3000000;29303;3;102.38;PARTNERS INTERNATIONAL;52.219515;21.031058034510068;Ujazdów;Śródmieście;00-467;ID4gZlM;N
2023-08-08;http://www.otodom.pl/pl/oferta/lokal-biurowy-w-odrestaurowanej-kamienicy-ID4gvDb;Lokal biurowy w odrestaurowanej kamienicy.;pl. Plac Unii Lubelskiej, Ujazdów, Śródmieście, Warszawa, mazowieckie;3900000;15694;7;248.5;PARTNERS INTERNATIONAL;52.2138111;21.021982;Ujazdów;Śródmieście;00-588;ID4gvDb;N
2023-08-08;http://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-przy-parku-lazienkowskim-ID4cfbf;Dwupoziomowe mieszkanie | Przy Parku Łazienkowskim;ul. Belwederska, Sielce, Mokotów, Warszawa, mazowieckie;2600000;13131;6;198.0;PARTNERS INTERNATIONAL;52.2020617;21.0352444;Marcelin;Mokotów;00-730;ID4cfbf;N
2023-08-08;http://www.otodom.pl/pl/oferta/3-pokoje-balkon-piwnica-ul-elblaska-ID4m0Fx;3 pokoje, balkon, piwnica, ul. Elbląska;Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie;680000;14468;3;47.0;REALS Nieruchomości Sp. z o.o.;52.266187;20.9757718;Serek Żoliborski;Żoliborz;01-770;ID4m0Fx;N
2023-08-08;http://www.otodom.pl/pl/oferta/apartament-w-sasiedztwie-lazienek-krolewskich-ID4apY7;Apartament W Sąsiedztwie Łazienek Królewskich;okolice Park Łazienek, Ujazdów, Śródmieście, Warszawa, mazowieckie;12300000;44856;4;274.21;PARTNERS INTERNATIONAL;52.2171722;21.040446826957833;Ujazdów;Śródmieście;00-464;ID4apY7;N
2023-08-08;http://www.otodom.pl/pl/oferta/nadbudowa-w-kamienicy-sufity-3-75m-i-pola-moko-ID43swJ;Nadbudowa w kamienicy | sufity 3,75m I Pola Moko;al. Aleja Niepodległości, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie;2500000;16600;5;150.6;PARTNERS INTERNATIONAL;52.2161256;21.0056338;Śródmieście Południowe;Śródmieście;00-608;ID43swJ;N
2023-08-08;http://www.otodom.pl/pl/oferta/ciche-widne-i-sloneczne-duzy-balkon-ID4mClv;Ciche, Widne I Słoneczne! Duży Balkon!;Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie;1820000;19891;3;91.5;Mieszkanie w Warszawie;52.266187;20.9757718;Serek Żoliborski;Żoliborz;01-770;ID4mClv;N
2023-08-08;http://www.otodom.pl/pl/oferta/nowe-osiedle-63-m2-3-pokoje-ul-plochocinska-ID4lUtk;NOWE OSIEDLE - 63 m2 3 pokoje - ul. PŁOCHOCIŃSKA;ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie;562489;8868;3;63.43;ATAL S.A.;52.3126292;20.9997122;Tarchomin Fabryczny;Białołęka;03-041;ID4lUtk;D
2023-08-08;http://www.otodom.pl/pl/oferta/apartament-ursynow-polki-7a-ID4hIdV;Apartament Ursynów Polki 7a;Polki, Wyczółki, Ursynów, Warszawa, mazowieckie;1163415;16500;3;70.51;OnDom;52.1518354;21.0035108;Wyczółki;Ursynów;02-826;ID4hIdV;N
2023-08-08;http://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-zoliborzu-ID4m8ld;Dwupokojowe mieszkanie na Żoliborzu;Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie;720000;14118;2;51.0;Sadyba Metrohouse;52.266187;20.9757718;Serek Żoliborski;Żoliborz;01-770;ID4m8ld;N
2023-08-08;http://www.otodom.pl/pl/oferta/3-pokoje-na-ursynowie-ID4ktmp;3 pokoje na Ursynowie;Polki 7a, Pyry, Ursynów, Warszawa, mazowieckie;1117583;15850;3;70.51;OnDom;52.1510977;21.0016226;Wyczółki;Ursynów;02-826;ID4ktmp;N
2023-08-08;http://www.otodom.pl/pl/oferta/piekna-dwupokojowa-kawalerka-w-centrum-warszawy-ID4mCfw;Piękna,dwupokojowa kawalerka w centrum Warszawy.;Grzybowska 6/10, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie;567000;21000;2;27.0;Oferta prywatna;52.2378025;21.000331648433857;Za Żelazną Bramą;Śródmieście;00-131;ID4mCfw;P
2023-08-08;http://www.otodom.pl/pl/oferta/apartament-winwestycji-dantex-aurora-ID4mCkJ;Apartament w inwestycji Dantex Aurora;Wschodu Słońca, Raków, Włochy, Warszawa, mazowieckie;1190000;20074;3;59.28;Hamilton May;52.2020606;20.9436858;Kolonia Raków;Włochy;02-222;ID4mCkJ;N
2023-08-08;http://www.otodom.pl/pl/oferta/mieszkanie-35m2-trakt-nadwislanski-ID4mpUy;Mieszkanie 35m2 Trakt Nadwiślański;Trakt Nadwiślański 4a, Żerań, Białołęka, Warszawa, mazowieckie;540000;15429;2;35.0;Oferta prywatna;52.31274505;20.97139618047737;Stare Świdry;Białołęka;03-188;ID4mpUy;P
2023-08-08;http://www.otodom.pl/pl/oferta/ciche-po-remoncie-garaz-metro-ID4lOYV;Ciche,Po Remoncie, Garaż, Metro!!;al. Aleja Wilanowska, Stegny, Mokotów, Warszawa, mazowieckie;1559000;14638;3;106.5;WARSZAWA NIERUCHOMOŚCI;52.1739948;21.0489536;Służew Górny;Mokotów;02-755;ID4lOYV;N
2023-08-08;http://www.otodom.pl/pl/oferta/nowoczesny-urzadzony-2-pokojowy-apartament-ID4mCkm;Nowoczesny, urządzony 2 pokojowy apartament;ul. Sławińska, Czyste, Wola, Warszawa, mazowieckie;719000;18436;2;39.0;Milton House;52.2241327;20.9705145;Czyste;Wola;01-218;ID4mCkm;N
2023-08-08;http://www.otodom.pl/pl/oferta/wysokie-mieszkanie-kamienica-swietna-lokalizacja-ID4mCkk;Wysokie mieszkanie, kamienica, świetna lokalizacja;ul. Spiska, Stara Ochota, Ochota, Warszawa, mazowieckie;999000;18330;2;54.5;Home Makers;52.2231366;20.9827794;Stara Ochota;Ochota;02-304;ID4mCkk;N
2023-08-08;http://www.otodom.pl/pl/oferta/2-pokojowe-do-remontu-3-parki-w-okolicy-ID4mCki;2-pokojowe, do remontu, 3 parki w okolicy;ul. Archiwalna, Rakowiec, Ochota, Warszawa, mazowieckie;519000;14871;2;34.9;Home Makers;52.2082153;20.9778405;Osiedle Szosa Krakowska;Ochota;02-103;ID4mCki;N
2023-08-08;http://www.otodom.pl/pl/oferta/bezposrednio-dwupokojowe-mieszkanie-na-zoliborzu-ID4mCi2;Bezpośrednio, dwupokojowe mieszkanie na Żoliborzu;ul. Przasnyska 7, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie;1100000;23605;2;46.6;Oferta prywatna;52.2594132;20.9693089;Zatrasie;Żoliborz;01-756;ID4mCi2;P
2023-08-08;http://www.otodom.pl/pl/oferta/mieszkanie-76-m-warszawa-ID4lTSz;Mieszkanie, 76 m², Warszawa;ul. Słupska, Czechowice, Ursus, Warszawa, mazowieckie;970000;12763;3;76.0;WIT HOUSE NIERUCHOMOŚCI;52.1842963;20.8769811;Czechowice;Ursus;02-495;ID4lTSz;N
2023-08-08;http://www.otodom.pl/pl/oferta/luksusowe-4-pokojowe-mieszkanie-na-bliskiej-woli-ID4lWqM;Luksusowe 4-pokojowe mieszkanie na Bliskiej Woli;ul. Marcina Kasprzaka 29C, Odolany, Wola, Warszawa, mazowieckie;2315000;29296;4;79.02;;52.225937900000005;20.95576548166988;Odolany;Wola;01-234;ID4lWqM;N
2023-08-08;http://www.otodom.pl/pl/oferta/kawalerka-mokotow-tramwaj-3min-ID4mCi6;Kawalerka/Mokotów/Tramwaj 3min;ul. Jarosława Dąbrowskiego, Stary Mokotów, Mokotów, Warszawa, mazowieckie;549000;16794;1;32.69;INVESTORIUS Sp. z o.o.;52.2013807;21.015022;Osiedle WSM Mokotów;Mokotów;02-561;ID4mCi6;N
2023-08-08;http://www.otodom.pl/pl/oferta/kamienica-z-winda-wysokie-metro-do-negocjacji-ID4mzij;Kamienica Z Windą, Wysokie, Metro,Do Negocjacji;Stary Mokotów, Mokotów, Warszawa, mazowieckie;1250000;16892;3;74.0;WARSZAWA NIERUCHOMOŚCI;52.204400899999996;21.014362750000004;Osiedle WSM Mokotów;Mokotów;02-538;ID4mzij;N
2023-08-08;http://www.otodom.pl/pl/oferta/gotowy-2pok-apartment-wlohy-ID4mChL;Gotowy 2pok Apartment/ Włohy;Wiktoryn 6A, Stare Włochy, Włochy, Warszawa, mazowieckie;567000;17886;2;31.7;Oferta prywatna;52.2049968;20.936958147079974;Budki Szczęśliwickie;Włochy;02-463;ID4mChL;P
2023-08-08;http://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-osiedlu-saska-ID4mChG;Dwupokojowe mieszkanie na osiedlu Saska;ul. gen. Stanisława Skalskiego, Gocław, Praga-Południe, Warszawa, mazowieckie;787000;17373;2;45.3;Oferta prywatna;52.2264164;21.0776355;Gocław;Praga-Południe;03-977;ID4mChG;P
2023-08-08;http://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-warszawa-praga-poludnie-ID4mChD;Mieszkanie na sprzedaż, Warszawa, Praga Południe,;Gocław, Praga-Południe, Warszawa, mazowieckie;795000;12461;3;63.8;Metrohouse S.A.;52.22212205;21.083098178473534;Gocław;Praga-Południe;03-983;ID4mChD;N
2023-08-08;http://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-woli-ID4mChy;2 pokojowe mieszkanie na Woli.;Ulrychów, Wola, Warszawa, mazowieckie;593000;15992;2;37.08;TEstate;52.23250715;20.93754733236934;Osiedle Sowińskiego;Wola;01-129;ID4mChy;N
2023-08-08;http://www.otodom.pl/pl/oferta/penthouse-w-sasiedztwie-lasu-kabackiego-ID4lWZP;Penthouse w Sąsiedztwie Lasu Kabackiego;Kabaty, Ursynów, Warszawa, mazowieckie;4200000;26582;4;158.0;Perfect Places;52.1298174;21.0677837;Kabaty;Ursynów;02-796;ID4lWZP;N
2023-08-08;http://www.otodom.pl/pl/oferta/harfowa-9-nowoczesne-mieszkanie-m19-ID4g2x8;Harfowa 9 | nowoczesne mieszkanie M19;ul. Harfowa, Szczęśliwice, Ochota, Warszawa, mazowieckie;1596308;18165;4;87.88;Yuniversal Development Sp. z o.o.;52.2001717;20.9647976;Szczęśliwice;Ochota;02-388;ID4g2x8;D
2023-08-08;http://www.otodom.pl/pl/oferta/harfowa-9-funkcjonalne-mieszkanie-m13-rezerwacja-ID4g2n5;Harfowa 9 | funkcjonalne mieszkanie M13 REZERWACJA;ul. Harfowa, Szczęśliwice, Ochota, Warszawa, mazowieckie;826740;18000;2;45.93;Yuniversal Development Sp. z o.o.;52.2001717;20.9647976;Szczęśliwice;Ochota;02-388;ID4g2n5;D
2023-08-08;http://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-3-pokoje-bialoleka-2014-ID4iIuN;Gotowe do wprowadzenia 3 pokoje, Białołęka 2014;ul. Gioacchino Rossiniego, Kobiałka, Białołęka, Warszawa, mazowieckie;689000;10158;3;67.83;Północ Nieruchomości                                                       Franczyza;52.3434224;21.0517575;brak;Białołęka;03-289;ID4iIuN;N
2023-08-08;http://www.otodom.pl/pl/oferta/harfowa-9-przestronne-mieszkanie-m18-ID4g2nU;Harfowa 9 | przestronne mieszkanie M18;ul. Harfowa, Szczęśliwice, Ochota, Warszawa, mazowieckie;1423068;18179;4;78.28;Yuniversal Development Sp. z o.o.;52.2001717;20.9647976;Szczęśliwice;Ochota;02-388;ID4g2nU;D
2023-08-08;http://www.otodom.pl/pl/oferta/willa-fiore-nowy-apartament-nr-3-ID4kTWG;Willa Fiore | nowy apartament nr 3;ul. Chlewińska, Marymont-Kaskada, Bielany, Warszawa, mazowieckie;1999000;28549;3;70.02;ModernBau Sp. z o.o.;52.2773098;20.9646432;Marymont-Kaskada;Bielany;01-695;ID4kTWG;D
2023-08-08;http://www.otodom.pl/pl/oferta/rozkladowe-2-pokoje-ul-kolejowa-ogrodek-garaz-ID4myhI;Rozkładowe 2 pokoje, ul. Kolejowa, Ogródek + Garaż;Czyste, Wola, Warszawa, mazowieckie;720000;20426;2;35.25;White Lion Investments;52.21677405;20.94648310823192;Odolany;Wola;01-254;ID4myhI;N
2023-08-08;http://www.otodom.pl/pl/oferta/willa-fiore-nowy-apartament-nr-2-ID4k2OX;Willa Fiore | nowy apartament nr 2;ul. Chlewińska, Marymont-Kaskada, Bielany, Warszawa, mazowieckie;2880000;23022;4;125.1;ModernBau Sp. z o.o.;52.2773098;20.9646432;Marymont-Kaskada;Bielany;01-695;ID4k2OX;D
2023-08-08;http://www.otodom.pl/pl/oferta/mieszkanie-107-3-m2-bielany-5-pokoi-do-negocjacji-ID4jDxw;Mieszkanie 107,3 m2, Bielany,5 pokoi,do negocjacji;"ul. Zgrupowania AK ""Żmija"", Piaski, Bielany, Warszawa, mazowieckie";1070000;9972;5;107.3;Północ Nieruchomości                                                       Franczyza;52.268655;20.9414442;Piaski;Bielany;01-876;ID4jDxw;N
2023-08-08;http://www.otodom.pl/pl/oferta/mieszkanie-43-m-warszawa-ID4mCgT;Mieszkanie, 43 m², Warszawa;ul. Sękocińska, Stara Ochota, Ochota, Warszawa, mazowieckie;700000;16279;2;43.0;"Biuro Nieruchomości ""ASEAN-DEVELOPMENT""";52.220593;20.9766676;Ochota I;Ochota;02-313;ID4mCgT;N
2023-08-08;http://www.otodom.pl/pl/oferta/rozkladowestan-deweloperskizielen-i-cisza-ID4mCgN;Rozkładowe*Stan Deweloperski*Zieleń i cisza;Wyczółki, Ursynów, Warszawa, mazowieckie;960000;12152;4;79.0;The Estate;52.1577327;20.9906241;Wyczółki;Ursynów;02-823;ID4mCgN;N
2023-08-08;http://www.otodom.pl/pl/oferta/unikalny-apartament-na-bialolece-ID4jSRa;Unikalny apartament na Białołęce;Białołęka Dworska, Białołęka, Warszawa, mazowieckie;2025000;15000;5;135.0;Beehouse-nieruchomości;52.19433847751938;20.9889097255814;Marina Mokotów;Mokotów;02-654;ID4jSRa;N
2023-08-08;http://www.otodom.pl/pl/oferta/idealne-pod-inwestycje-kameralnie-zielono-ID4mCg5;Idealne pod inwestycję, kameralnie zielono;ul. Myśliborska, Tarchomin, Białołęka, Warszawa, mazowieckie;424400;12810;2;33.13;Nieruchomości Plus;52.3040429;20.9778337;Żerań;Białołęka;03-197;ID4mCg5;N
2023-08-08;http://www.otodom.pl/pl/oferta/dwustronne-dodatkowe-wc-ID4mCg1;Dwustronne, dodatkowe Wc;ul. Myśliborska, Tarchomin, Białołęka, Warszawa, mazowieckie;825200;11393;4;72.43;Nieruchomości Plus;52.3040429;20.9778337;Żerań;Białołęka;03-197;ID4mCg1;N
2023-08-08;http://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-w-stylu-loft-42m2-ID4mpRK;Atrakcyjne mieszkanie w stylu LOFT 42m2;ul. Szwedzka 30, Nowa Praga, Praga-Północ, Warszawa, mazowieckie;835000;19881;2;42.0;Oferta prywatna;52.2663507;21.0404147;Nowa Praga;Praga-Północ;03-420;ID4mpRK;P
2023-08-08;http://www.otodom.pl/pl/oferta/nowoczesne-3-pokojowe-mieszkanie-na-mokotowie-ID4lL8P;Nowoczesne 3-pokojowe mieszkanie na Mokotowie;al. Aleja gen. Władysława Sikorskiego, Stegny, Mokotów, Warszawa, mazowieckie;1278000;18000;3;71.0;Trendy House Tomasz Wycech;52.1750189;21.04442;Służew Górny;Mokotów;02-720;ID4lL8P;N
2023-08-08;http://www.otodom.pl/pl/oferta/mozliwosc-urzadzenia-5-pokoi-zielen-cisza-metro-ID4mugT;Możliwość urządzenia 5 pokoi, zieleń, cisza, metro;ul. Edwarda Dembowskiego, Ursynów Północny, Ursynów, Warszawa, mazowieckie;780000;10541;4;74.0;Polias Dom;52.1546508;21.034003;Jary;Ursynów;02-722;ID4mugT;N
2023-08-08;http://www.otodom.pl/pl/oferta/2-pokoje-po-remoncie-bialoleka-kolo-wisly-ID4moR8;2 pokoje, po remoncie, Białołęka koło Wisły;ul. Odkryta, Nowodwory, Białołęka, Warszawa, mazowieckie;545000;12500;2;43.6;SZCZĘSNY NIERUCHOMOŚCI;52.3263526;20.9370249;Buczynek;Białołęka;03-133;ID4moR8;N
2023-08-08;http://www.otodom.pl/pl/oferta/2-pokoje-bez-pcc-nowe-wykonczone-6-pietro-ID4mpRk;2 pokoje, bez PCC nowe wykończone 6 piętro;Służewiec, Mokotów, Warszawa, mazowieckie;900000;21951;2;41.0;;52.181919;20.9883042995082;Służewiec;Mokotów;02-676;ID4mpRk;N
2023-08-08;http://www.otodom.pl/pl/oferta/stary-zoliborz-trzy-pokoje-w-kamienicy-z-1932-roku-ID4mCdQ;Stary Żoliborz Trzy Pokoje W Kamienicy Z 1932 Roku;al. Słowackiego, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie;1295000;18500;3;70.0;HSH Nieruchomości Sp. z o.o.;52.2733807;20.9669735;Marymont;Żoliborz;01-690;ID4mCdQ;N
2023-08-08;http://www.otodom.pl/pl/oferta/w-pelni-wyposazone-nowoczesne-3-pok-dwupoziomowe-ID4mpPy;W pełni wyposażone, nowoczesne 3 pok, dwupoziomowe;ul. Aluzyjna, Nowodwory, Białołęka, Warszawa, mazowieckie;1150000;16197;3;71.0;Oferta prywatna;52.3484331;20.942118;Buków;Białołęka;03-149;ID4mpPy;P
2023-08-08;http://www.otodom.pl/pl/oferta/wola-kolo-2-pokoje-cegla-parki-ID4mCdp;Wola Koło/2 pokoje/cegła/parki;Koło, Wola, Warszawa, mazowieckie;646000;16288;2;39.66;Digital Broker;52.2470564;20.93821419256723;Koło-Zachód;Wola;01-439;ID4mCdp;N
2023-08-08;http://www.otodom.pl/pl/oferta/przestronne-mieszkanie-na-osiedlu-santorini-ID4m6hf;Przestronne mieszkanie na osiedlu Santorini!;ul. Kwatery Głównej, Gocławek, Praga-Południe, Warszawa, mazowieckie;657000;11991;2;54.79;Rey del Barrio Michał Wleklik;52.2450631;21.1140076;Grochów-Północny;Praga-Południe;04-306;ID4m6hf;N
2023-08-08;http://www.otodom.pl/pl/oferta/czerniakowska-przy-lazienkach-4-pokoje-ID4lViN;Czerniakowska | Przy Łazienkach | 4 pokoje |;Ujazdów, Śródmieście, Warszawa, mazowieckie;969000;12224;4;79.27;PURE ESTATES;52.219515;21.031058034510068;Ujazdów;Śródmieście;00-467;ID4lViN;N
2023-08-08;http://www.otodom.pl/pl/oferta/wyjatkowe-125m2-na-starym-miescie-w-warszawie-ID4mlK9;Wyjątkowe 125m2 na Starym Mieście w Warszawie;rynek Starego Miasta 4/6, Stare Miasto, Śródmieście, Warszawa, mazowieckie;2980000;23728;5;125.59;Zaremscy Nieruchomości;52.2498751;21.01296750521835;Stare Miasto;Śródmieście;00-272;ID4mlK9;N
